c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
0.9,1.51,0.48,40,34.83,35,18.83,1.83,50.67,38.67,35
0.65,1.25,0.47,26.67,31.33,30,17.5,1.67,51,40.17,50
0.23,1.09,0.25,21.66,21,28.33,16.17,1.5,50.33,28.5,40
0.35,1.01,2.51,11.66,16.5,25,12.5,1.33,49.83,21.17,26.67
0.08,0.96,1.73,10,16,25,12.5,2,58.5,15.67,20
0.2,1.02,1.96,16.67,16.5,26.67,11.17,3.17,56,23.17,18.33
0.18,1.13,2.78,21.67,19.67,30,11.5,1.67,54.83,32.67,21.67
0.65,1.52,2.32,56.67,41.17,51.67,20.33,7.67,81.67,58.33,41.67
0.6,1.77,1.95,75,73,81.66,29.17,7.33,96.5,76.83,55
0.55,1.9,2.15,78.33,82.33,81.66,28.5,4.83,73,69.5,58.33
0,2,1.13,68.33,75.5,75,23.33,4.83,67.33,66.5,65
0,2.1,2.57,63.34,77.17,78.33,21.17,4.67,58.83,60.67,73.33
0.6,2.17,1.85,60,63.83,71.67,19.67,4.33,71.83,62.83,58.33
1.8,2.21,1.74,63.33,46,65,21.83,3.17,62.5,58.67,50
1.2,2.3,1.4,53.33,48,50,21.83,3.17,47.67,60.67,55
1.01,2.23,0.65,55,50.33,50,24.33,3.33,57.83,59.17,53.33
1.74,2.15,0.65,50,50.67,53.33,20,3.5,46.17,63.67,60
1.15,2.07,0.55,48.34,39.67,41.66,16.17,3.83,45.83,49.5,46.67
0.47,2.16,0.83,45,40,43.33,22.83,2.5,50.66,49,40
1.62,2.24,1.1,48.34,40,46.67,22.17,2.5,51.67,51,45
0,2.36,2.05,55,43,50,18.67,4.17,48.67,57.17,45
0,2.43,2.09,61.67,44.67,51.66,20,4.17,71.33,68.5,51.67
0,2.29,1.15,58.34,44,51.66,18.17,2.67,65,67.17,60
0.8,1.77,0.93,45,38.67,38.34,13.83,1.67,47.34,46.5,43.33
0.73,1.26,0.67,35,32.5,30,23,2.33,36.84,35.33,30
0.25,1.04,0.6,18.34,23.67,25,8,1.5,32.5,21.5,36.67
0.15,0.91,1.42,10,16,25,6.17,1.17,28.17,15.33,21.67
0.15,0.84,1.23,8.33,15.5,21.66,7.33,1.5,40,14.17,18.33
0.12,0.8,1.02,11.66,17.5,23.33,6.67,2,37.17,14.83,18.33
0.13,0.86,1.47,15,17.67,25,9.33,4.67,33.83,22.67,20
0.11,0.94,2.15,21.67,22.17,35,9.5,1.83,44,25.67,21.67
0.38,1.27,2.8,56.67,41.66,53.34,19.17,6.67,57,47.83,40
0.67,1.48,2,68.34,79.5,75,26.67,7.5,79.84,72.83,58.33
1.75,1.59,2.05,71.66,85.17,81.66,26.83,5.17,72,71.33,60
1.87,1.67,1.68,66.66,76.67,70,23,5.5,65.5,67.33,60
0,1.76,1.27,58.33,64.66,66.66,21.33,4.83,63.66,69.33,63.33
0,1.81,1.27,51.66,48.5,65,20.33,4.5,49.83,57,58.33
0.58,1.85,1.39,55,45,58.33,18.5,5,67.17,55.83,53.33
0.43,1.92,1.05,56.66,39.34,55,18.33,5.67,51.67,64,53.33
1.53,1.87,0.93,55,37,53.33,19.67,3.83,61.83,57.5,55
1.08,1.8,0.65,53.33,36.83,50,17.67,4.17,55,54.83,61.67
1.28,1.73,1.15,50,34.84,40,15.17,3.67,43.17,58.33,51.67
1.75,1.81,1.57,46.67,32.5,43.33,21.67,3.5,45.16,51.83,43.33
0,1.88,1.04,51.66,41.5,41.67,20.17,4.5,53.34,52.67,53.33
0.22,1.98,2.52,55,45.33,46.67,17,4,52.67,60.83,50
1.39,2.03,2.7,63.33,41.67,45,20.5,4.5,57.66,68,58.33
1.13,1.92,0.67,61.67,42,48.33,22.67,3.33,54.33,69.17,58.33
1.13,1.48,1.19,43.33,37.17,41.67,13.67,2.17,51.17,46.5,43.33
0.6,1.09,0.39,30,29.84,28.33,16.17,1.83,49.17,31.67,28.33
0.47,0.9,0.17,18.34,24.83,25,10.83,2.67,46.67,28.67,45
0.47,0.78,0.4,15,19.17,21.67,9,1.17,36.17,18.83,33.33
0.22,0.72,1.78,13.33,17,23.33,8.5,1,50.67,25,23.33
0.18,0.69,1.01,11.67,15.16,26.67,7.83,2.5,45.84,27.33,18.33
0.22,0.74,2.12,16.67,15.5,23.33,8.5,5.33,41.83,33.5,20
0.37,0.81,2.73,23.34,21.5,33.33,9.17,3,52.33,27.67,21.67
0.55,1.09,2.08,58.33,40,46.67,18.67,7,57.34,54.5,35
0.65,1.27,2.42,78.33,72.33,71.66,27.17,7,80.67,73.33,58.33
0,1.37,2.97,91.66,74.16,76.67,30.33,9.33,68.66,71.17,61.67
0,1.44,1.9,68.33,72.67,71.67,28.5,9,69.83,66,58.33
1.08,1.51,2.7,61.67,70.5,70,20.5,6,69.5,60.5,65
0.98,1.56,1.48,53.33,57.33,63.33,19.83,7.5,67.5,57.83,56.67
1.22,1.59,1.54,55,52.83,60,20,6.67,62.66,52,53.33
1.56,1.66,1.14,51.66,46.33,48.33,18,4.17,50.67,56.67,53.33
0.44,1.61,0.62,55,47.66,48.34,16.33,4,54.17,57.83,61.67
1.28,1.55,1.04,51.66,44.5,50,18,6,62.33,57.17,60
1.25,1.49,0.92,46.67,36.67,48.34,16.17,2.67,47.67,52.33,45
0,1.55,1.67,48.34,38.16,38.33,21,3.33,53.34,49.33,45
1.45,1.62,1.33,48.33,43.66,43.34,20.33,4.33,50.66,53,43.33
1,1.7,2.28,56.67,44,53.33,17,4,64.5,56.83,48.33
1.4,1.75,2.2,65,42.33,48.33,21.83,3.17,72.33,66.83,56.67
1.02,1.65,2.05,61.67,42.84,50,19.5,3.17,62.5,66.83,68.33
0.83,1.27,0.75,46.67,37,43.33,12.5,2.33,63.17,47.17,43.33
